Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1.7956138870114808,9670,1,1,140.90582555902066,1,38,19,5,7,128.70544484145776,1,0,0,1,0,0,18.192017984844036,0,0,6,6,6,12.981310600366712,0,0,6,7,5,10.33298003882061,0,13.9,-0.3,0.79,Graduate
1,1,2.1613066390584916,9500,1,1,137.24659462706435,1,19,38,9,9,121.12254033965289,1,0,0,1,0,1,20.07859553017778,0,0,8,8,7,13.076904965194762,0,0,8,8,7,14.080820159739845,0,12.7,3.7,-1.7,Graduate
1,1,1.9852856527612814,9853,1,1,130.32168066357607,1,19,37,4,9,130.23311308674656,1,0,0,1,0,0,19.127546644837913,0,0,6,6,0,0.2680884628600458,0,0,6,0,0,-4.74921488560968,0,12.7,3.7,-1.7,Dropout
1,53,0.7109489514213727,9254,1,42,110.5574917799028,1,1,1,4,7,112.13532123244393,1,0,0,1,0,1,21.169150832628645,0,0,6,7,6,10.285756495759767,0,0,6,8,5,15.074946164157259,0,8.9,1.4,3.51,Graduate
1,1,0.24394277862874414,9085,1,1,149.4205534152398,1,38,37,5,5,136.19770218711056,1,0,0,1,0,1,18.564129580965805,0,0,5,7,4,13.685053105563256,0,0,5,5,5,8.464459708964347,0,10.8,1.4,1.74,Graduate
1,1,0.5974486588439092,9773,1,1,126.67658325537873,1,19,37,9,3,120.75420833523722,1,0,0,1,0,0,20.00456620376375,0,0,6,6,5,13.401482906397895,0,0,6,7,0,-0.5973991999196471,0,15.5,2.8,-4.06,Dropout
1,18,-1.9445325720943658,9238,1,1,138.83795557297378,1,19,38,5,8,136.52838397364346,1,0,0,1,0,0,16.833019692413554,0,0,6,10,1,12.641053261850118,0,0,6,14,2,10.571210598545127,0,10.8,1.4,1.74,Enrolled
1,17,1.838187537830578,9500,1,1,135.51478056846648,1,19,1,5,4,128.16449814794575,1,0,0,1,0,0,17.814410525058058,0,0,7,8,7,12.682756097110005,0,0,8,8,8,16.09107013258317,0,15.5,2.8,-4.06,Graduate
1,1,1.169504770405411,9130,1,1,136.41478992222093,1,3,19,3,5,137.0871774544955,1,0,0,1,0,0,19.992097466914267,0,0,5,8,4,13.313863035785143,1,0,5,8,4,13.932677689399595,2,10.8,1.4,1.74,Graduate
1,1,0.66109696555747,9853,1,1,140.96798197294225,1,19,19,7,7,125.52808148959876,1,0,0,1,0,0,18.40444408304034,0,0,7,7,6,12.172135557527735,0,0,7,8,6,12.341216019334464,0,16.2,0.3,-0.92,Enrolled
1,1,2.3921547526188403,171,1,1,122.12141922412125,1,1,1,9,8,120.53682404817553,0,0,0,1,0,1,19.30081719343831,0,0,0,0,0,-1.5102053045534518,0,0,0,0,0,3.0334339479675103,0,11.1,0.6,2.02,Graduate
1,18,4.876630664587661,9556,1,1,127.05013218451957,1,1,38,4,7,120.81997358771103,1,0,0,1,0,0,19.910767360960467,0,0,7,14,7,10.09099289235713,0,0,8,9,8,12.309116162063546,0,12.7,3.7,-1.7,Enrolled
1,1,4.047460464726086,9500,1,1,144.3749173975152,1,19,19,1,1,123.44265962073322,1,0,0,1,0,0,18.901515511594084,0,0,8,12,7,12.497329689765388,0,0,8,12,7,10.082242456199717,0,12.7,3.7,-1.7,Graduate
1,1,2.294905723907891,9670,1,1,124.97507273187014,1,1,38,4,7,113.69380671198896,1,0,0,1,0,1,19.411862745721315,0,0,6,8,6,14.439184033774666,0,0,6,7,6,11.86874713729086,0,11.1,0.6,2.02,Graduate
1,1,5.616155606702597,9500,1,1,127.25001953365485,1,19,19,3,7,121.7851248253139,0,0,0,1,0,0,25.578327104419103,0,0,7,8,6,13.075596361495185,0,0,8,9,7,13.20221901559618,0,11.1,0.6,2.02,Graduate
1,1,3.445423097920778,9238,1,1,151.08838106360943,1,19,38,9,9,157.36969710462427,1,0,1,1,0,1,18.200892410965505,0,0,6,8,5,11.565139571384385,0,0,6,12,4,11.026426751196276,0,7.6,2.6,0.32,Enrolled
1,17,2.2054883301203825,9238,1,1,115.40193660464708,1,19,38,7,8,114.37125405460189,1,0,0,1,0,0,17.707643688463147,0,0,6,9,6,10.8324235788595,0,0,6,9,6,12.826691431172748,0,16.2,0.3,-0.92,Graduate
1,1,-4.169868530977281,9085,1,1,137.20229631620452,1,19,19,3,3,132.80537037556317,1,0,0,1,0,0,20.61013912851381,0,0,5,9,5,12.019293616008872,2,0,5,7,4,12.437995904057004,0,9.4,-0.8,-3.12,Enrolled
1,1,-1.299768435696948,9147,1,1,135.01026508453091,1,19,1,9,9,121.5093592134914,1,0,0,1,0,0,19.92324234423078,0,0,5,6,5,12.714011874218333,0,0,5,6,5,12.349037662035972,0,16.2,0.3,-0.92,Graduate
1,17,3.280135980507602,9500,1,1,126.90857363727453,1,3,3,1,10,120.86193115258556,1,0,0,1,1,0,21.985218136314128,0,0,7,9,6,12.977173500487954,0,0,7,7,6,13.122363196182453,0,16.2,0.3,-0.92,Enrolled
1,44,1.8625942020920678,9003,1,39,147.67953696982352,1,4,5,4,2,150.29813346482712,0,0,0,1,1,0,21.869770086239956,0,0,6,15,5,11.288996111338045,0,0,6,17,5,9.847060156454225,0,16.2,0.3,-0.92,Enrolled
1,51,1.6618449607577728,9070,1,1,123.42897492796074,1,42,3,125,124,131.35920076863232,1,0,0,1,1,0,20.294710857414998,0,2,6,7,6,12.88620391796274,0,0,6,9,4,10.827471116660703,0,8.9,1.4,3.51,Graduate
1,1,0.3190109370006544,9147,1,1,140.33268672965156,1,1,1,4,6,138.90768279693003,0,0,0,0,1,0,17.6738381729485,0,0,5,9,3,11.874824310669673,0,0,5,8,2,14.397084010089024,0,8.9,1.4,3.51,Enrolled
1,18,2.076029559638782,8014,0,1,138.3171941169165,1,19,1,9,5,137.58508829423548,1,0,0,1,0,0,18.4869809310278,0,0,6,6,6,9.690182952652917,0,0,6,8,6,13.249788560591957,0,12.4,0.5,1.79,Graduate
1,1,3.59783118023911,9991,0,1,128.74553837619754,1,2,37,3,9,128.4907355209621,0,0,0,1,1,0,31.893644288262674,0,0,5,6,5,12.076233799289653,0,0,5,9,5,14.153104177327526,0,13.9,-0.3,0.79,Graduate
1,39,0.6506912909775345,33,1,1,131.05166390868766,1,38,37,9,6,99.92867569073547,0,0,1,0,1,0,37.295032301508826,0,0,7,7,0,-1.949715444181576,0,0,7,7,1,9.915945832163263,0,8.9,1.4,3.51,Dropout
1,39,-0.009804517389661482,9119,1,10,133.5663165177036,1,34,37,0,0,129.26487296966883,1,0,0,1,1,0,42.72185155372622,0,0,5,0,0,1.9833582136268864,0,0,5,0,0,0.5557914359095468,0,7.6,2.6,0.32,Dropout
1,43,-0.33331162322765784,9147,1,1,140.47808130658967,1,37,37,6,6,120.49553244740095,0,0,0,1,0,0,54.53113038857961,0,0,5,10,1,10.724962992761608,0,0,5,8,2,11.361282411018387,2,16.2,0.3,-0.92,Dropout
4,39,2.141783137598122,9991,0,1,122.32716721220238,1,19,19,9,3,113.00766350011398,1,0,0,1,0,0,36.95860032664883,0,0,5,8,5,9.668902069556758,0,0,5,5,5,10.439014271861627,0,7.6,2.6,0.32,Graduate
1,44,2.053187447801423,9130,1,39,118.46970551015961,6,4,4,3,6,117.29457214647435,0,0,1,0,0,0,19.668514616381277,1,2,6,13,3,14.313640049099837,0,1,6,11,3,12.88022598238716,0,12.4,0.5,1.79,Dropout
1,1,4.687895077044664,9773,1,1,125.94100371386577,1,3,3,2,2,120.90019979552314,0,0,1,1,0,0,18.80204514206598,0,0,6,6,4,13.25284136037213,0,0,5,5,0,0.5356764691622765,0,12.7,3.7,-1.7,Dropout
1,1,1.552344951940697,9147,1,1,130.56284875399152,1,3,19,2,7,120.32316711336746,1,0,0,1,0,0,23.439891318271194,0,0,5,5,5,13.644043218380023,0,0,5,5,5,16.832480205598696,0,8.9,1.4,3.51,Graduate
1,1,5.030640358441887,9500,1,1,102.5936534128683,1,1,3,2,2,100.80805250296002,1,1,0,1,0,0,22.447203517988882,0,0,7,9,5,13.669189710226659,0,0,8,9,7,12.095520394773668,0,11.1,0.6,2.02,Graduate
1,17,-1.0082279961891372,9773,1,1,122.16679345905368,1,1,38,5,5,121.48904497986834,0,0,0,0,0,0,21.57818902774571,0,0,6,7,4,13.635245610165617,0,0,6,7,5,13.600702538822867,0,12.4,0.5,1.79,Dropout
1,39,0.6535979205845566,9991,0,1,132.52576568230853,1,37,37,9,9,112.1425097383706,0,0,0,1,0,0,29.45072077829282,0,0,5,0,0,-0.16252332436266365,0,0,5,0,0,-0.18265612807724319,0,16.2,0.3,-0.92,Dropout
1,17,1.0865279123099811,9991,0,1,153.3931023502946,1,38,38,4,5,133.89004566005312,0,0,0,1,0,0,23.58372595877512,0,0,5,9,2,11.911852074886939,0,0,5,11,3,14.404201502984826,1,7.6,2.6,0.32,Enrolled
1,17,2.148239815752157,9238,1,1,129.85782038648972,1,19,19,9,9,128.29040796263638,1,0,0,1,0,0,15.519415653544613,0,0,6,6,6,11.120507674024664,0,0,6,8,5,12.408013325708856,0,11.1,0.6,2.02,Graduate
1,17,5.535159926269311,9500,1,1,130.09295740860216,1,37,19,7,7,133.988546043025,1,0,0,1,0,1,21.204621216779458,0,0,7,8,6,12.996458926587144,0,0,8,9,7,15.35188639409914,0,11.1,0.6,2.02,Graduate
1,44,1.5862051536593773,8014,0,39,129.0810172293557,1,1,19,9,9,133.37167260075978,0,0,0,1,0,1,20.73052455674071,0,3,6,6,6,11.18253799201867,0,2,6,7,6,12.950168234313212,0,12.4,0.5,1.79,Graduate
1,1,0.3830870310117439,9238,1,1,142.865199018512,1,37,38,9,9,127.08453055452932,0,0,0,1,0,1,18.072490573516358,0,0,6,7,5,11.486815963555246,0,0,6,7,6,12.933357340874458,0,12.7,3.7,-1.7,Graduate
1,39,0.010674627127047032,9254,1,1,130.09287173860628,1,19,38,9,7,113.48102386822295,0,0,0,1,0,1,24.059452076909842,0,0,6,6,6,16.02480522856303,0,0,6,6,6,17.683184050827066,0,12.4,0.5,1.79,Graduate
1,1,3.5976617610572905,9500,1,1,138.15798464684306,1,37,38,6,6,121.3707856539648,1,0,0,1,0,1,19.619145369495925,0,0,8,10,6,9.985474165607545,0,0,8,10,6,12.391609303462152,0,9.4,-0.8,-3.12,Enrolled
1,1,1.297057752298958,9773,1,1,127.8493445376759,1,1,19,7,7,121.74451194634547,1,0,0,1,0,1,23.004369073838003,0,0,6,11,4,15.022681505199118,0,0,6,12,3,12.1214032390262,0,9.4,-0.8,-3.12,Enrolled
1,1,2.9747591874276953,9130,1,1,170.74938747795827,1,37,37,90,90,159.28534048252527,0,0,0,1,0,0,19.136414080118204,0,0,5,7,5,15.599974173453536,0,0,5,5,5,13.572307211449711,0,7.6,2.6,0.32,Graduate
1,39,2.358860625333029,9991,0,1,130.7379644001294,1,38,38,9,9,119.63714452072783,0,0,0,1,0,0,26.720272390444688,0,0,5,12,5,10.85942722253529,0,0,5,10,5,11.275538035898757,0,9.4,-0.8,-3.12,Dropout
1,1,0.4818264075174472,9500,1,1,129.7651061885475,1,1,19,5,5,130.53607783287364,1,0,0,1,0,0,21.62680298563881,0,0,7,9,7,14.435185327535693,0,0,8,10,8,16.259924096808444,0,15.5,2.8,-4.06,Graduate
2,7,1.0293215523376582,9254,1,3,129.39764285022488,1,1,3,4,3,129.56146460402888,0,0,0,1,0,0,38.84344168024219,0,0,6,10,0,0.33519169106916036,0,0,6,6,0,-0.5417656426779559,0,12.4,0.5,1.79,Dropout
1,39,2.6852250456466678,9130,1,40,128.7666000169891,1,3,3,2,2,154.90043388433583,1,0,0,1,0,0,27.910951588296697,0,0,6,9,5,13.400097062212602,0,5,11,13,10,13.223774253224684,0,12.4,0.5,1.79,Dropout
1,17,-0.3433199999963965,9500,1,1,144.03957695059233,1,38,38,7,10,138.94874687087815,1,0,0,1,0,0,18.49360214941795,0,0,8,8,8,18.5267018753892,0,0,8,8,8,12.34674476095441,0,9.4,-0.8,-3.12,Graduate
1,1,2.0449474406486376,171,1,1,124.79230711294903,1,38,37,4,9,113.75224975080758,1,0,0,1,0,0,15.859201696760133,0,0,0,0,0,2.8314753036883538,0,0,0,0,0,0.354828393758133,0,7.6,2.6,0.32,Enrolled
1,1,2.177870823112333,9500,1,1,125.93683012818182,1,19,19,9,9,117.95178478517468,0,0,0,1,0,0,17.69501003766283,0,0,7,8,6,12.330233508498013,0,0,8,12,7,12.329799520413824,0,16.2,0.3,-0.92,Graduate
1,44,2.3399596867943453,9238,1,39,131.3395256810137,1,19,1,9,9,131.81057924141538,0,0,0,1,0,1,22.523572521518442,0,3,6,7,6,11.535615038158978,0,2,6,7,6,13.010791257915448,0,13.9,-0.3,0.79,Graduate
1,17,3.720368750345689,171,1,1,134.42572011292472,1,1,37,4,7,125.18474275238502,1,0,0,1,1,1,19.022035420411324,0,0,0,0,0,1.1282143230188422,0,0,0,0,0,-1.3664550608951964,0,10.8,1.4,1.74,Enrolled
1,17,-0.2128501710373334,9070,1,1,127.41262282014658,1,1,1,3,4,130.8234113875489,1,0,0,1,1,0,20.57216957625904,0,0,6,6,5,12.213776730649943,0,0,6,8,1,8.546554418590045,0,10.8,1.4,1.74,Enrolled
1,43,0.6666862850802263,9070,1,1,116.93630284355135,1,1,1,3,3,119.93223423392138,0,0,0,1,1,0,20.330913408417413,0,0,6,6,0,1.0441514229168225,0,0,6,6,0,-0.1670831741303322,0,12.7,3.7,-1.7,Enrolled
4,42,1.190372844503309,9500,1,19,133.20911968577923,1,1,1,5,5,130.1587205877214,1,0,0,1,1,0,28.317077433105663,0,2,7,10,5,13.490521044448531,0,1,8,10,5,11.689066861848055,0,13.9,-0.3,0.79,Dropout
1,1,4.094538249121587,171,1,1,138.72686968786496,1,19,19,5,3,130.0311303007635,1,0,0,1,1,1,18.5735345513738,0,0,0,0,0,-0.39250439725986297,0,0,0,0,0,0.2429138577946851,0,10.8,1.4,1.74,Graduate
1,44,1.2761395848858432,9003,1,39,130.51904678309577,1,19,37,9,9,129.17709527688277,1,0,0,1,1,0,23.377940375422213,0,0,6,8,6,12.46443363414017,0,0,6,7,6,9.374272732092908,0,8.9,1.4,3.51,Graduate
1,1,3.1345608916371663,9147,1,1,124.40986278208594,1,1,38,7,7,120.02820834693586,0,0,1,1,1,0,20.1002316524411,0,0,5,8,5,11.74119535150193,0,0,5,10,4,9.897065878453825,3,16.2,0.3,-0.92,Dropout
1,39,2.657043132847864,9254,1,1,159.46653299388194,1,19,37,7,10,99.62988345502082,0,0,0,1,1,0,25.59121822732206,0,0,6,7,6,11.905100701077528,0,0,6,8,5,10.836969845909685,0,12.7,3.7,-1.7,Enrolled
1,17,0.9351036960604802,9147,1,1,148.41326565648157,1,38,37,5,5,133.18071659104544,0,0,0,1,1,0,18.494571423490516,0,0,5,9,0,3.155220873373589,0,0,5,5,0,-0.009763536307037635,0,7.6,2.6,0.32,Enrolled
1,17,4.056804433234404,9500,1,1,148.78873392483936,1,37,19,8,4,131.05302660538092,0,0,0,1,1,0,25.05200105266588,0,0,7,8,7,13.407296383783478,0,0,8,8,8,14.191938412198835,0,13.9,-0.3,0.79,Graduate
1,1,0.3764123122683569,171,1,1,136.66680861809883,1,19,19,5,10,137.8354929678768,1,0,0,1,1,0,17.070198755865736,0,0,0,0,0,0.2570453267549497,0,0,0,0,0,3.29089660876939,0,15.5,2.8,-4.06,Dropout
1,17,2.4188215276818905,9254,1,1,119.38160066064968,1,38,37,5,7,111.99679200204021,1,0,0,1,1,0,17.731469859479393,0,0,6,12,3,10.26230103854108,0,0,6,12,1,13.174747088971914,0,12.4,0.5,1.79,Dropout
1,1,2.82070873013402,9773,1,1,141.25303780094598,1,38,38,9,9,132.75240932837232,1,0,0,1,1,0,17.999808572252352,0,0,6,8,6,13.25485860390873,0,0,6,11,3,11.358239409172025,0,10.8,1.4,1.74,Graduate
1,17,1.7289460263256113,9147,1,1,121.48606511062279,1,19,19,4,7,115.815203172247,1,0,1,1,1,0,17.236463330373443,0,0,5,8,3,10.127426466929673,0,0,5,11,3,11.088631379735281,0,10.8,1.4,1.74,Dropout
1,18,5.989833121702457,9254,1,1,105.61946079444282,1,19,37,7,7,105.82153516799798,1,0,0,1,1,1,22.626488602496345,0,0,6,8,4,8.683948949466,0,0,6,11,1,11.370260990468868,0,9.4,-0.8,-3.12,Dropout
1,17,3.3256246049731386,9773,1,1,121.48539497700942,1,1,19,9,8,121.29168760472363,1,0,1,1,1,1,19.571581889919305,0,0,6,6,6,13.792376232879011,0,0,6,6,6,13.35109545022006,0,8.9,1.4,3.51,Graduate
1,17,3.688390464361635,9500,1,1,149.05800917988745,1,38,37,9,9,130.90802703649058,0,0,0,1,1,1,20.955040728581334,0,0,7,7,7,12.128481484778032,0,0,8,9,8,12.749458920561292,0,16.2,0.3,-0.92,Graduate
2,39,-0.5438304008292101,8014,0,1,120.28783666085874,1,37,37,9,6,116.28552066378415,0,0,0,1,1,0,34.03638863576923,0,0,6,8,6,10.294936402641156,0,0,6,6,6,10.410727125520623,0,10.8,1.4,1.74,Graduate
1,1,5.999099208280656,9853,1,1,114.1428505509572,1,19,19,9,9,110.42852862811608,1,0,0,1,1,0,16.478524939247983,0,0,6,8,5,10.656682292030997,0,0,6,7,5,12.691097239537712,0,10.8,1.4,1.74,Dropout
1,39,-0.8535975366575626,9991,0,2,139.64213942368167,1,3,3,2,2,155.37150776315528,1,0,0,1,1,0,35.21222042180943,0,0,1,1,0,0.7693740388310726,1,0,5,0,0,0.5238502800671084,0,10.8,1.4,1.74,Dropout
1,39,0.9855209729007559,9003,1,4,159.44442805674774,1,3,3,4,2,180.32610736503113,0,0,1,1,1,0,23.650916657600966,0,6,12,17,6,11.613749649117276,0,7,12,14,10,12.546131949563476,0,12.4,0.5,1.79,Dropout
1,17,0.0005761833644764014,9254,1,1,120.63157650703204,1,19,19,4,4,126.05720703613675,0,0,0,1,1,0,18.437385996529123,0,0,5,6,5,14.051007717459544,0,0,5,8,3,9.222129511321466,0,12.7,3.7,-1.7,Enrolled
2,39,1.8825800175805703,8014,0,1,128.98696666509375,1,37,37,9,6,109.57547258783951,1,0,0,1,0,0,33.466982688080336,0,0,6,7,6,10.726491797438792,0,0,6,11,5,10.6801379388962,0,9.4,-0.8,-3.12,Graduate
1,42,1.0371553990504734,9500,1,1,162.88158556402897,1,37,38,9,7,158.96561050486966,1,0,0,1,0,1,23.54667631728801,0,0,8,8,7,12.917614249987889,0,0,8,8,7,11.440138241154335,0,10.8,1.4,1.74,Graduate
1,39,1.709877983634125,9670,1,1,119.59662165766483,1,1,19,4,5,102.20841406691588,0,0,0,1,0,1,24.68838327556828,0,0,5,7,4,10.127250651381928,0,0,5,7,5,11.47657126097849,0,9.4,-0.8,-3.12,Graduate
1,17,2.3549908220952935,9070,1,1,124.87016949315084,1,19,38,4,0,120.16240619670234,1,0,0,1,1,0,20.171416480650745,0,0,6,9,6,10.77808188783277,1,0,6,6,5,10.842200707522876,0,7.6,2.6,0.32,Graduate
1,1,8.521466989861857,9147,1,1,143.38319326074125,1,38,37,9,9,129.91745514741507,1,0,0,1,1,0,24.827169418497455,0,0,5,6,4,13.272174026532982,0,0,5,5,5,12.876851499379624,0,11.1,0.6,2.02,Enrolled
1,43,2.190745080238571,9119,1,1,119.25131364895527,1,38,19,9,6,113.84045035021002,1,0,1,1,1,0,17.61980798330622,0,0,5,9,2,10.558996340601356,0,0,5,9,0,-0.1815483024962954,0,15.5,2.8,-4.06,Enrolled
1,39,-0.0695517007331119,9500,1,1,132.7756103729799,1,1,1,4,10,100.63186746610789,0,0,0,1,1,0,27.42990286317746,0,0,7,18,0,-0.42695581069661964,0,0,7,7,0,-0.39494517266520535,0,13.9,-0.3,0.79,Dropout
1,17,1.5848309798304048,9773,1,1,132.52750699485867,41,19,1,9,9,105.41698923327604,1,0,0,0,0,0,20.936445239506643,1,0,6,6,6,11.584961432514229,0,0,6,6,6,11.656372637348193,0,8.9,1.4,3.51,Graduate
1,15,1.3233154396844742,9130,1,1,133.2139077208641,41,1,1,4,4,100.325031800627,0,0,0,1,0,0,25.60218236563629,1,0,6,7,2,11.416774057922721,1,0,6,6,0,-0.13943354014042753,0,8.9,1.4,3.51,Dropout
2,39,1.4436769491541313,9853,1,10,133.38116886081363,1,37,34,0,0,113.92794319179468,0,0,0,1,0,0,38.78611872533609,0,0,6,12,3,12.614049681186904,0,0,6,14,0,2.6635077576849984,1,7.6,2.6,0.32,Dropout
2,39,0.7703215509267111,8014,0,1,132.95310784287813,1,37,19,9,9,113.6934255233691,0,0,0,1,0,0,41.568241320485726,0,2,8,11,8,11.052899480619377,0,0,6,7,6,11.915953436732183,0,12.7,3.7,-1.7,Graduate
1,15,0.7206843009016,9119,1,1,130.97072562539844,26,38,3,9,2,137.87247603165548,1,0,0,1,1,0,20.11081128671054,1,0,5,9,5,15.22090360989304,0,0,5,11,3,12.227912885794755,0,13.9,-0.3,0.79,Enrolled
1,1,5.22617362917741,9773,1,1,132.82982124949373,1,37,1,5,5,124.70112511026319,1,0,0,1,0,0,18.733821415455935,0,0,6,6,6,14.220832492306657,0,0,6,6,6,11.698149153611793,0,8.9,1.4,3.51,Graduate
1,1,3.138643890613285,9500,1,1,132.70158200269591,1,37,37,7,7,119.00671608384873,1,0,0,1,0,1,17.963517695283173,0,0,7,7,7,13.185713400098656,0,0,8,9,8,13.364627095440959,0,12.4,0.5,1.79,Graduate
1,1,3.241442447487013,9085,1,1,132.6423946135459,1,1,2,9,1,135.05993149639215,1,0,0,1,0,0,18.72836246290451,0,0,5,7,5,15.77329168043239,2,0,5,7,5,11.130598541537282,0,12.7,3.7,-1.7,Enrolled
1,1,4.680126477327329,9500,1,1,115.55783587886702,1,3,3,2,2,111.72256569139645,1,0,1,0,0,0,14.204995876066718,0,0,7,10,4,13.54213995724307,0,0,7,7,0,-0.6837102564210115,0,13.9,-0.3,0.79,Dropout
1,53,2.0947870633817143,9085,1,42,130.1543098794505,1,38,38,9,9,129.122206289428,0,0,0,1,0,0,22.04754263523333,0,7,10,12,8,13.71136131529889,0,4,9,14,5,17.168878478593935,0,8.9,1.4,3.51,Dropout
1,1,4.50643682280754,171,1,1,132.93150196857013,1,1,1,9,10,109.59904481028325,1,0,0,1,0,0,23.098200149001556,0,0,0,0,0,0.19259340058245217,0,0,0,0,0,0.42593119638501287,0,16.2,0.3,-0.92,Graduate
2,39,0.6951281330996979,8014,0,1,131.2372730018781,1,37,37,6,5,114.42135087627886,1,0,0,1,0,0,36.51038340019723,0,0,6,0,0,-0.12616594957209393,0,0,6,0,0,0.70355916447787,0,9.4,-0.8,-3.12,Dropout
4,39,1.284714801046956,9003,1,12,132.53657598562575,1,37,37,9,6,160.270984562485,0,0,0,1,0,0,43.00043396645312,0,13,18,19,18,13.800118070931104,0,10,13,14,13,15.729675963048358,1,15.5,2.8,-4.06,Graduate
1,18,0.3864250215668902,9853,1,1,125.81584878118652,1,19,19,9,7,118.78370619941171,1,0,0,1,0,0,22.006012351592588,0,0,6,0,0,-0.21090414157082202,0,0,6,0,0,5.0585324247611325,0,11.1,0.6,2.02,Dropout
1,51,1.9913139565738074,9070,1,1,130.11002753373364,1,3,1,2,8,122.30859792542562,0,0,1,1,0,0,19.874942379623306,0,4,10,12,10,12.309777175694963,0,5,11,11,11,15.225471591319454,0,11.1,0.6,2.02,Graduate
1,1,1.3996703755104944,9238,1,1,119.18819777498086,1,37,38,4,7,117.10657515296309,1,0,0,1,0,0,18.179021210427397,0,0,6,0,0,-0.2649186367472457,0,0,6,0,0,-2.073230501290326,0,16.2,0.3,-0.92,Dropout
1,1,0.7591178867869588,9085,1,1,112.65679610140974,1,1,1,4,4,106.80622431854209,1,0,0,1,0,0,18.682935976216253,0,0,6,15,4,14.315583107537106,0,0,6,17,4,13.975223193272193,0,15.5,2.8,-4.06,Dropout
1,1,6.497507275313711,9500,1,1,110.34700322010195,1,3,4,4,3,106.93231679980698,1,0,0,1,0,0,22.503302579015802,0,2,7,9,6,13.199256949396501,0,0,7,10,5,12.275628445114696,0,12.4,0.5,1.79,Dropout
